texto_es,texto_en,polaridad,valor_polaridad,ubicacion_usuario,terminos
quienes nominan al vicealcalde son los señores concejales que es un cuerpo colegiado y de respeto que culpa tiene el señor alcalde...? saludos.,who nominate the vice mayor are the councilors who is a collegial and respectful body that is blamed by the mayor greetings,positivo,0.5,,
el lidera esta reunión con el fin de escuchar los requerimientos y buscar la manera de solucionar la preocupante situación que ya lleva varios años afectando a los moradores.,He leads this meeting in order to listen to the requirements and find a way to solve the worrying situation that has been affecting residents for several years,neutral,0.0,Cuenca, Ecuador,
una profunda tristeza ha causado el fallecimiento de un amigo y gran profesional paz en su tumba y mucha resignación a su esposa e hijas.,a deep sadness has caused the death of a friend and great professional peace in his grave and much resignation to his wife and daughters,positivo,0.275,,
dgrinforma👇🏻 reporte climatológico nocturno 🌃 fecha: 21/08/2019 hora: 19h00,dgrinforma nocturnal weather report date 21082019 hour 19h00,neutral,0.0,Cuenca, Ecuador,
hace 8 días se denunció la destrucción d parada d buses en av.12 d abril frente parque d la madre nada se ha hecho al respecto como calificamos 100/100 señores,8 days ago the destruction of bus stops was reported on April 12 in front of the Mothers Park nothing has been done about it as we rate 100100 seres,neutral,0.0,,
con ética y seriedad y más que nada respeto,with ethics and seriousness and most of all respect,positivo,0.5,ECUADOR,
alcalde lo escucho en sobre pedido listado d personal y su asombro ¿? le informo q yo lo he pedido ahora y a la anterior administración lista total de personal no hay nada raro como indica lo hago para: 1. control de nepotismo 2. ratio de ingresos vs,Mayor I hear it in an envelope request list of personnel and his astonishment I inform him that I have asked for it now and to the previous administration total personnel list there is nothing strange as it indicates I do it for 1 nepotism control 2 income ratio vs,negativo,-0.07222222222222223,Cuenca,
tanta capacitación y donde están los resultados,so much training and where are the results,positivo,0.2,,
¿hasta cuando la ciudad paga por un servicio inexistente? no sobra el dinero. muchos millones en lucro cesante para la ciudad . si no se va a implementar este servicio se debe transformar en ciclovia y rematar los trenes,Even when the city pays for a nonexistent service there is no money left over many millions of lost profits for the city If this service is not going to be implemented it must be transformed into Cyclovia and the trains finished off,positivo,0.25,Cuenca, Ecuador,
¡atención 🚧 desde el jueves 22 hasta el 24 de agosto se realizarán trabajos de fresado y recapeo asfáltico en la "bajada de todos santos". recomendamos tomar vías alternas. 100sobre100 100dias100realidades,Attention from Thursday 22 to August 24 milling and asphalt restoring work will be carried out on the descent of all saints we recommend taking alternate vessels 100 over 100 100 days 100 realities,neutral,0.0,,
los conductores del tranvíacuenca concluyeron un nuevo módulo dentro del proceso de formación que llevan a cabo con el apoyo del sindicato de choferes profesionales de baños para la obtención de la licencia tipo e.,the drivers of the tramway concluded a new module within the training process that they carry out with the support of the professional bathroom drivers union to obtain the type e license,positivo,0.11818181818181818,,
excelente gestión estimado ingeniero siga así siempre al frente del cañón,excellent management dear engineer always stay ahead of the can,positivo,1.0,Loja,
cuenca | el alcalde destacó el trabajo en territorio durante el informe de los cien primeros días de su gestión.,The mayor basin highlighted the work in territory during the report of the first hundred days of his management,positivo,0.25,Ecuador,
trabajamos por su seguridad y la de su familia.,We work for your safety and that of your family,neutral,0.0,,trabajamos_por por_su su_seguridad seguridad_y y_la la_de de_su su_familia
trabajen amigos en las áreas adyacentes al aeropuerto de cuenca.. prima y urge esa necesidad.,friends work in the areas adjacent to the prima basin airport and that need is urgent,neutral,0.0,CUENCA ECUADOR,
en las oficinas de mantuvimos una reunión con entidades de control para trabajar en la creación de un anteproyecto de ordenanza de administración gestión y control de uso y ocupación de suelo en áreas históricas de cuenca,In the offices we held a meeting with control entities to work on the creation of a draft administration ordinance management and control of land use and occupation in historic areas of basin,neutral,0.0,Cuenca Ecuador,
¡¡rendición de cuentas de los primeros 💯 días farmasol se una a esta gestión que seguirá creciendo una gestión 100sobre100 🤩 cuencaunida,accountability of the first days farmasol joins this management that will continue to grow a management over 100 basin,positivo,0.25,Cuenca - Ecuador,
hoy se cumple 100 días de una gestión transparente y óptima del sr. alcalde son 100 realidades 100 obras 100dias100realidades 100sobre100 cuencaunida 👍👏👏👍,Today is 100 days of a transparent and optimal management of Mr Mayor are 100 realities 100 works 100days100realities 100sobre100 Cuenca,neutral,0.0,Cuenca,
aquí es donde debemos unirnos para salvar a los seres indefensos y a la madre naturaleza se requiere ayuda a la zona afectada,this is where we must unite to save the defenseless beings and mother nature requires help to the affected area,negativo,-0.4,,
“cien días cien realidades”.,one hundred and one hundred realities,neutral,0.0,Canar Ecuador,
felicitaciones hay que seguir por esa ruta estimado antonio un abrazo,congratulations you have to follow this route esteemed antonio a hug,neutral,0.0,Cuenca-Ecuador,felicitaciones_hay hay_que que_seguir seguir_por por_esa esa_ruta ruta_estimado estimado_antonio antonio_un un_abrazo
parte de los 100 días,part of the 100 days,neutral,0.0,Cuenca Ecuador,
ahora se ha tornado insegura y la minista de gobierno de paseo. se envió un vídeo de un supuesto viaje viendo un partido de atlético de madrid. sólo que este vídeo sea mentira o falso sino ya sería el colmo de sinvergüenzas,Now she has become insecure and the government miner of Paseo was sent a video of an alleged trip watching an Atletico Madrid match only if this video is a lie or false but it will be the height of scoundrels,negativo,-0.25,Ecuador,
100dias100realidades de nuestro alcalde,100days100 realities of our mayor,neutral,0.0,,100dias100realidades_de de_nuestro nuestro_alcalde
cuenca: informe de los 100 días de gestión del alcalde 100sobre100,basin report of the 100 days of management of the mayor 100 over 100,neutral,0.0,Cuenca, Ecuador,
obras para los más pequeños del hogar. 100sobre100,works for the smallest of the household 100 out of 100,neutral,0.0,Cuenca, Ecuador,
buenos días al sr. alcalde...desde yanaturo... fuimos a planificación del municipio y nos manifiestan que es el barrio el que debe pedir la planificación territorial... considero que es obligación de este departamento hacer la planificación territorial para evitar,good morning to the mayor of yanaturo we went to town planning and they tell us that it is the neighborhood that should ask for the territorial planning I consider that it is the obligation of this department to do the territorial planning to avoid,positivo,0.7,ECUADOR,
100dias100realidades de un gobierno 100sobre100,100days100 realities of a government over 100,neutral,0.0,,100dias100realidades_de de_un un_gobierno gobierno_100sobre100
la seguridad es uno de los principales ejes en nuestro plan de acción implementamos la campaña vacaciones seguras y colonias vacacionales para los más ñutos son cien días cien realidades 100sobre100 100dias100realidades,security is one of the main axes in our action plan we implement the campaign safe vacations and holiday colonies for the most senior are one hundred and one hundred realities 100 over 100 100 days 100 realities,positivo,0.31666666666666665,,
¡buenas noticias 🚧👷🏻‍♀️👷🏻‍♂️ la pavimentación asfáltica de la calle la floresta parroquia bellavista tiene un avance del 85 %. esta obra está a cargo de la unidad ejecutora de proyectos.,good news the asphalt paving of the street la floresta parish bellavista has an advance of 85 this work is in charge of the project executing unit,positivo,0.7,Cuenca Ecuador,
mejora día a día. 100dias100realidades 100sobre100,improvement of the 100dias100realities 100sub100,neutral,0.0,,
100dias100realidades 100sobre100 más obras para cuenca.,100dias100realities 100sub100 ms works for basin,neutral,0.0,Cuenca - Ecuador,
entrevista radial | en algunos minutos estaremos junto a los amigos de conversando acerca de las medidas preventivas ante incendios forestales y de qué se trata nuestra campaña yocuido los bosques por un ecuadorsinfuego,radio interview in a few minutes we will be together with friends talking about preventive measures against forest fires and what our campaign is about I take care of the forests for an equator,negativo,-0.2,Cuenca, Ecuador,
nuestro compromiso con las parroquias rurales mediante los presupuestos participativos audiencias con los representantes de 200 barrios y acciones preventivas de seguridad en el arenal y calle larga 100sobre100 100dias100realidades,our commitment to rural parishes through participatory budgeting hearings with representatives of 200 neighborhoods and preventive safety actions in the arenal and long street 100sobre100 100dias100realidades,negativo,-0.025,,nuestro_compromiso compromiso_con con_las las_parroquias parroquias_rurales rurales_mediante mediante_los los_presupuestos presupuestos_participativos participativos_audiencias audiencias_con con_los los_representantes representantes_de de_200 200_barrios barrios_y y_acciones acciones_preventivas preventivas_de de_seguridad seguridad_en en_el el_arenal arenal_y y_calle calle_larga larga_100sobre100 100sobre100_100dias100realidades
más trabajo y más compromiso con los cuencanos agua potable educación vial para transportistas escolares y fibra óptica para sayausi son cien días cien realidades 100sobre100 100dias100realidades,more work and more commitment to the basins drinking water road education for school carriers and fiber optic for sayausi are one hundred days one hundred realities 100 over 100 100 days 100 realities,positivo,0.5,,
ayuda autoridades,help authorities,neutral,0.0,Ecuador,ayuda_autoridades
es un precio muy alto,It is a very high price,positivo,0.20800000000000002,Cuenca-Ecuador,es_un un_precio precio_muy muy_alto
¡no permitamos que nos arrebaten nuestra naturaleza 👉🏻 yocuido los bosques por un ecuadorsinfuego 🌳👏🏻 ⚠ si ves a alguien haciéndolo no dudes en llamar al 9-1-1 📞 trabajamosenprevención,we do not allow our nature to be taken away from me I take care of the forests for an equator if you see someone doing it do not hesitate to call 911 we work in prevention,neutral,0.0,Cuenca, Ecuador,
gracias por su informacion,thanks for your information,positivo,0.2,,gracias_por por_su su_informacion
presencia de act en diferentes sectores de la ciudad.,presence of act in different sectors of the city,neutral,0.0,,presencia_de de_act act_en en_diferentes diferentes_sectores sectores_de de_la la_ciudad
más que nada es el susto y la impotencia por no cambiar la situación. eso sucede a menudo en este sector y cómo le comenté no hay gc en las cercanías,more than anything is the fright and helplessness for not changing the situation that happens often in this sector and how he commented there is no gc in the nearby,positivo,0.5,Ecuador,
así es señor alcalde el día de ayer alrededor de las 16h00 en la bolívar y padre aguirre una pareja de venezolanos me quitaron mi celular. se puede observar a inmigrantes sentados con niños en la vereda pidiendo caridad. recorrí dos cuadras buscando a un guardia ciudadano y 0.,That is yesterday yesterday yesterday at around 400 pm in La Bolvar and Father Aguirre a couple of Venezuelans took my cell phone you can see immigrants sitting with children on the sidewalk asking for charity to walk two blocks looking for a citizen guard and 0,neutral,0.0,Ecuador,
así es amigos,thats friends,neutral,0.0,CUENCA ECUADOR,
y si se hace algo por los incendios en la amazonia? enviar bomberos recursos aviones cisterna o algo?,and if something is done by the fires in the Amazon send firefighters resources tankers or something,neutral,0.0,,y_si si_se se_hace hace_algo algo_por por_los los_incendios incendios_en en_la la_amazonia amazonia_enviar enviar_bomberos bomberos_recursos recursos_aviones aviones_cisterna cisterna_o o_algo
señor alcalde muy buena iniciativa pero por favor comunique lo que hace estoy seguro q trabaja duro y es necesario que los cuencanos lo escuchemos. la redes sociales estuvieron bien par campaña hoy es el alcalde de toda una ciudad.,Mr Mayor very good initiative but please communicate what he does I am sure he works hard and it is necessary that we Cuencans listen to social networks were good for the campaign today is the mayor of an entire city,positivo,0.2645238095238095,Cuenca, Ecuador,
y que tales los primeros 100 días de como alcalde de cuenca? para cuando el ?,and how about the first 100 days of as mayor of basin for when the,positivo,0.25,Cuenca, Azuay, Ecuador,
ojalá que de el mismo ejemplo atención señor alcalde es su oportunidad para demostrar en hechos que no hay compromisos con nadie sino con la ciudad,I hope that from the same example attention Mayor is your opportunity to demonstrate in fact that there are no commitments with anyone but with the city,neutral,0.0,,
excelente noticia juan pablo por fin,excellent news juan pablo finally,positivo,0.5,Cuenca, Ecuador,excelente_noticia noticia_juan juan_pablo pablo_por por_fin
yo vote por esta alternativa. la ciudad es un mercado grande y desordenado de ahi nace la inseguridad. es tiempo de accion. ordenar la casa,I voted for this alternative the city is a large and messy market where insecurity is born it is time for action to order the house,positivo,0.03809523809523809,CUENCA ECUADOR,yo_vote vote_por por_esta esta_alternativa alternativa_la la_ciudad ciudad_es es_un un_mercado mercado_grande grande_y y_desordenado desordenado_de de_ahi ahi_nace nace_la la_inseguridad inseguridad_es es_tiempo tiempo_de de_accion accion_ordenar ordenar_la la_casa
avance de noticias 13h30 telecuenca al día,news advance 13h30 telecuenca al da,neutral,0.0,,
por poco no quieren entrar al baño con carro y todo,they almost dont want to go to the bathroom with a car and everything,neutral,0.0,Ecuador,
eso es pan de todos los días amigo al parecer estos tipos se creen dueños de las aceras,thats bread every day friend apparently these guys think they own sidewalks,positivo,0.325,Ecuador,
sres oopp cuenca... cuando realizan señalizacion en cuello de botella interseccion autopista av las américas av loja av ricardo durán? falta ampliación de carriles en interseccion av ricardo durán con av loja y av de las américas. va a ser un problema gigante en inicio clases,sop oopp basin when they carry out signage at the bottleneck intersection highway av las amricas av loja av ricardo durn lane extension lanes intersection av ricardo durn with av loja and av de las americas will be a giant problem in the beginning classes,neutral,0.0,,
cuenca | en el parque de la madre se cumple acto de informe del alcalde por los primeros 100 días de administración. 99sobre100 cuencaunida,basin in the park of the mother is fulfilled act of report of the mayor for the first 100 days of administration 99 over 100 basin,positivo,0.25,Cuenca, Ecuador,
y competencia de quien es controlar que se instalen negocios en la orilla de una curva en una vía de alta velocidad,and competence of who is controlling that businesses are installed on the edge of a curve in a highspeed going,neutral,0.0,Cuenca,
estimada no es nuestra competencia. se comunica a la,Dear is not our competence communicates to the,neutral,0.0,,estimada_no no_es es_nuestra nuestra_competencia competencia_se se_comunica comunica_a a_la
para subirme en el tranvía e irme a uno de esos eventos.,to get on the tram and go to one of those events,neutral,0.0,Naranjal-Ecuador,
conveniente lavado de manos; allá entre burócratas. el caos es el lamentable resultado,convenient handwashing all among bureaucrats chaos is the unfortunate result,negativo,-0.5,Cuenca,
tampoco esperes que los ciudadanos te ayuden solo se dedicarán a mirar,do not expect citizens to help you just look at,neutral,0.0,,
estimada la es la entidad encargada del tránsito en el sector.,estimated is the entity in charge of transit in the sector,neutral,0.0,,
felicitaciones,Congratulations,neutral,0.0,,
el  brindó hoy un informe de los primeros 100 días de su gestión. la campaña informativa desarrollada fue “cien días cien realidades”. 100sobre100,the toast today a report of the first 100 days of its management the information campaign developed was one hundred and one hundred realities 100 over 100,positivo,0.175,Cuenca, Ecuador,
100sobre100 | en este momento el alcalde de la ciudad de da a conocer a la ciudadanía las acciones ejecutadas durante estos 100 primeros días de gestión. cuencaunida,100sobre100 at this time the mayor of the city announces to the citizen the actions carried out during these first 100 days of Cuenca management,positivo,0.25,Cuenca, Ecuador,
asi es mi estimado en una entrevista en la mañana escuche que quito sucede el mismo caso de cuenca pero las concejalas dicen que no existe problema que ocupe un hombre la vicealcaldia que ellas se deben al pueblo y trabajan para ellos.,This is my estimate in an interview in the morning I heard that the same case happens in Cuenca but the councilors say that there is no problem that a man occupies the vice mayor that they owe to the people and work for them,neutral,0.0,Cuenca, Ecuador,
20 minutos esperando en la llamada para realizar un reclamo porque no hay internet. se corta la llamada y te dicen que vuelvas a esperar todo el tiempo que el corte se debe al alto número de llamadas que están recibiendo. pesilo servicio,20 minutes waiting on the call to make a claim because there is no internet the call is cut and they tell you to wait again as long as the cut is due to the high number of calls that are receiving service,negativo,-0.004999999999999995,,
100sobre100 👇aquí tod ala información transparente de los 100 días de gestión del alcalde,100 over 100 here all the transparent information of the 100 days of the mayors management,neutral,0.0,,
dir. acompaña al alcalde en la rendición de cuentas por los 100 días de gestión. 100sobre100,dir accompanies the mayor in accountability for the 100 days of management 100 over 100,neutral,0.0,Cuenca, Ecuador,
es el inicio alcalde siga adelante 100sobre100,is the mayor start move on 100 over 100,neutral,0.0,,es_el el_inicio inicio_alcalde alcalde_siga siga_adelante adelante_100sobre100
cuenca: alcalde desde el parque de la madre da informe correspondiente a los 100 primeros días de su administración. 100sobre100,mayor basin from the mothers park gives report corresponding to the first 100 days of its administration 100 over 100,positivo,0.25,Cuenca, Ecuador,
no mientan la gestión debe ser de un 60 por ciento,do not lie the management should be 60 percent,neutral,0.0,,
