texto_es,texto_en,polaridad,valor_polaridad,ubicacion_usuario,terminos
2019-08-22 02:04:23,iniciamos el diálogo con el alcalde cuenca análisis de los 100 días de labores al frente del,We began the dialogue with the mayor Cuenca analysis of the 100 days of work in front of the,neutral,0.0,,
2019-08-22 02:00:18,muchas felicidades sr.alcalde se q el camino es largo para lograr muchas cosas x nuestra ciudad.pero le pido de fvr no se olvide de la prolongacion d la calle dl tejar (detrás de la gasolinera clyan) mucho tiempo abandonados x autoridades de turno.,Congratulations sralcalde I know that the road is long to achieve many things x our city but I ask you to make a fvr do not forget the extension of the street dl tejar behind the gas station clyan long abandoned x shift authorities,negativo,-3.469446951953614e-18,Ecuador,
2019-08-22 01:48:17,donde sucede tanta maravilla yo ando por toda la ciudad y nada de nada...pasarán el chisme por favor no serán malitos a ver si haci creo que don figureti si trabaja....,where it happens so much wonder I walk all over the city and nothing will pass the gossip please will not be bad to see if I do I think don figureti if it works,negativo,-0.24999999999999992,,
2019-08-22 01:36:04,acompañamos a  a la asamblea ciudadana que se desarrolla en la "ciudadela kennedy" donde se conocen los requerimientos planteados por los moradores del sector.,We accompany the citizen assembly that takes place in the Kennedy Citadel where the requirements raised by the residents of the sector are known,neutral,0.0,Cuenca, Ecuador,
2019-08-22 01:34:55,sesión de trabajo | esta tarde acudimos a una sesión de trabajo y recorrido en el sector de la ciudadela los trigales en busca de analizar las posibles situaciones ante la problemática presentada en la zona.,Work session this afternoon we went to a work session and tour in the area of the city of the wheat fields in search of analyzing the possible situations before the problem presented in the area,neutral,0.0,Cuenca, Ecuador,
2019-08-22 01:34:06,informe 100díasdegestión 📌alcalde  esfuércese en hacer lo que usted quiera en lugar de lo que los demás piensan que tiene que hacer. apoyo incondicional,100dadegestin mayor report strive to do what you want instead of what others think you have to do unconditional support,neutral,0.0,,
2019-08-22 01:33:00,cuenca un destino con amplia oferta especializada en mice generador de experiencias únicas gran equipo liderado por y miceconsulting turismodereuniones,basin a destination with a wide range of specialized expertise in unique experience generator mice great team led by and tourism consultations miceconsulting,positivo,0.3583333333333334,Quito-Ecuador,
2019-08-22 01:31:53,vaya ahí... con fuerza,go hard,negativo,-0.2916666666666667,,
2019-08-22 01:19:57,los famosos guardias ciudadanos.. son machos y bien valientes ¡carajo.. solo con las vendedoras de frutas que llevan sus productos en carretillas.. que se puede esperar.,The famous citizen guards are macho and very brave only with the fruit sellers who carry their products in trucks that can be expected,positivo,0.35,,
2019-08-22 01:14:26,100sobre100 el trabajo continua con más fuerza,100 percent work continues harder,negativo,-0.1,,
2019-08-22 02:04:23,iniciamos el diálogo con el alcalde cuenca análisis de los 100 días de labores al frente del,We began the dialogue with the mayor Cuenca analysis of the 100 days of work in front of the,neutral,0.0,,
2019-08-22 01:36:04,acompañamos a  a la asamblea ciudadana que se desarrolla en la "ciudadela kennedy" donde se conocen los requerimientos planteados por los moradores del sector.,We accompany the citizen assembly that takes place in the Kennedy Citadel where the requirements raised by the residents of the sector are known,neutral,0.0,Cuenca, Ecuador,
2019-08-22 01:34:06,informe 100díasdegestión 📌alcalde  esfuércese en hacer lo que usted quiera en lugar de lo que los demás piensan que tiene que hacer. apoyo incondicional,100dadegestin mayor report strive to do what you want instead of what others think you have to do unconditional support,neutral,0.0,,
2019-08-22 01:21:29,el no ha entendido que el problema que tiene es de gestión mas no político 100dias,He has not understood that the problem he has is of management but not political 100days,neutral,0.0,Cuenca, Ecuador,
2019-08-22 00:25:01,cómo califica ud.? la administración del ing. alcalde de cuenca en estos 100 días. azuay,How do you rate the administration of the mayor of Cuenca in these 100 days azuay,neutral,0.0,,
2019-08-21 23:58:54,el lidera esta reunión con el fin de escuchar los requerimientos y buscar la manera de solucionar la preocupante situación que ya lleva varios años afectando a los moradores.,He leads this meeting in order to listen to the requirements and find a way to solve the worrying situation that has been affecting residents for several years,neutral,0.0,Cuenca, Ecuador,
2019-08-21 22:21:10,bien señor alcalde trabajando por la necesidades de las 21 parroquias rurales y no como otros que trabajaban con quienes les convenía politicamente.,good mayor working for the needs of the 21 rural parishes and not as others who worked with those who politically convince them,positivo,0.2333333333333333,,
2019-08-21 22:00:00,cuenca | el alcalde destacó el trabajo en territorio durante el informe de los cien primeros días de su gestión.,The mayor basin highlighted the work in territory during the report of the first hundred days of his management,positivo,0.25,Ecuador,
2019-08-21 21:56:37,señor haga el favor de no tomar a los conquenses por gilipollas y preocúpese de cosas como la guarrería de las aceras el acceso al nuevo hospital la mierda que lleva el júcar y la más mierda que llevará si incarlopsa gracias a page instala sus macrogranjas.,Sir please do not take the Cuencans for assholes and worry about things like the sidewalk kennel the access to the new hospital the shit that the jcar carries and the most shit to take if incarlopsa thanks to page installs his macrogranjas,positivo,0.08727272727272727,Rovaniemi, Finlandia,
2019-08-21 21:06:56,cuenca: informe de los 100 días de gestión del alcalde 100sobre100,basin report of the 100 days of management of the mayor 100 over 100,neutral,0.0,Cuenca, Ecuador,
