creado,texto_es,texto_en,polaridad,valor_polaridad,ubicacion_usuario,terminos_2, terminos_3
2019-08-22 14:14:21,la guardia ciudadana es lo peor aparte de no hacer nada son unos vagos esa gente está ahí para nada terrible lo que te paso,the citizen guard is the worst apart from doing nothing they are lazy those people are there for nothing terrible what happened to you,negativo,-0.75,Cuenca  Ecuador,la_guardia guardia_ciudadana ciudadana_es es_lo lo_peor peor_aparte aparte_de de_no no_hacer hacer_nada nada_son son_unos unos_vagos vagos_esa esa_gente gente_est est_ah ah_para para_nada nada_terrible terrible_lo lo_que que_te te_paso,la_guardia_ciudadana guardia_ciudadana_es ciudadana_es_lo es_lo_peor lo_peor_aparte peor_aparte_de aparte_de_no de_no_hacer no_hacer_nada hacer_nada_son nada_son_unos son_unos_vagos unos_vagos_esa vagos_esa_gente esa_gente_est gente_est_ah est_ah_para ah_para_nada para_nada_terrible nada_terrible_lo terrible_lo_que lo_que_te que_te_paso
2019-08-22 14:06:56,y tus impuestos no van solo a los guardias ciudadanos que también pasan malos ratos ya que muchas veces ni siquiera les pagan a tiempo los sueldos.,and your taxes do not go only to the citizen guards who also spend bad times since many times they do not even pay their salaries on time,negativo,-0.06666666666666661,,y_tus tus_impuestos impuestos_no no_van van_solo solo_a a_los los_guardias guardias_ciudadanos ciudadanos_que que_tambin tambin_pasan pasan_malos malos_ratos ratos_ya ya_que que_muchas muchas_veces veces_ni ni_siquiera siquiera_les les_pagan pagan_a a_tiempo tiempo_los los_sueldos,y_tus_impuestos tus_impuestos_no impuestos_no_van no_van_solo van_solo_a solo_a_los a_los_guardias los_guardias_ciudadanos guardias_ciudadanos_que ciudadanos_que_tambin que_tambin_pasan tambin_pasan_malos pasan_malos_ratos malos_ratos_ya ratos_ya_que ya_que_muchas que_muchas_veces muchas_veces_ni veces_ni_siquiera ni_siquiera_les siquiera_les_pagan les_pagan_a pagan_a_tiempo a_tiempo_los tiempo_los_sueldos
2019-08-22 14:05:21,la policia jamás se ha ido solo que no hacen su trabajo que si es brindarnos seguridad. no tenemos un gobernador que ponga orden por lo que estamos pasando una terrible emergencia en cuanto a la seguridad.,the police are never gone they just dont do their job that if it is to give us security we dont have a governor who puts order so we are going through a terrible security emergency,negativo,-1.0,,la_policia policia_jams jams_se se_ha ha_ido ido_solo solo_que que_no no_hacen hacen_su su_trabajo trabajo_que que_si si_es es_brindarnos brindarnos_seguridad seguridad_no no_tenemos tenemos_un un_gobernador gobernador_que que_ponga ponga_orden orden_por por_lo lo_que que_estamos estamos_pasando pasando_una una_terrible terrible_emergencia emergencia_en en_cuanto cuanto_a a_la la_seguridad,la_policia_jams policia_jams_se jams_se_ha se_ha_ido ha_ido_solo ido_solo_que solo_que_no que_no_hacen no_hacen_su hacen_su_trabajo su_trabajo_que trabajo_que_si que_si_es si_es_brindarnos es_brindarnos_seguridad brindarnos_seguridad_no seguridad_no_tenemos no_tenemos_un tenemos_un_gobernador un_gobernador_que gobernador_que_ponga que_ponga_orden ponga_orden_por orden_por_lo por_lo_que lo_que_estamos que_estamos_pasando estamos_pasando_una pasando_una_terrible una_terrible_emergencia terrible_emergencia_en emergencia_en_cuanto en_cuanto_a cuanto_a_la a_la_seguridad
2019-08-22 13:57:56,una tarea más para los 100 días ya en guayaquil con los operativos y a donde cree q van los angelitos a cuenca donde más importan los 100 q la seguridad,one more task for the 100 days already in guayaquil with the operative ones and where do you think the angels go to basin where the 100 q security matters most,positivo,0.5,Cuenca,una_tarea tarea_ms ms_para para_los los_100 100_das das_ya ya_en en_guayaquil guayaquil_con con_los los_operativos operativos_y y_a a_donde donde_cree cree_q q_van van_los los_angelitos angelitos_a a_cuenca cuenca_donde donde_ms ms_importan importan_los los_100 100_q q_la la_seguridad,una_tarea_ms tarea_ms_para ms_para_los para_los_100 los_100_das 100_das_ya das_ya_en ya_en_guayaquil en_guayaquil_con guayaquil_con_los con_los_operativos los_operativos_y operativos_y_a y_a_donde a_donde_cree donde_cree_q cree_q_van q_van_los van_los_angelitos los_angelitos_a angelitos_a_cuenca a_cuenca_donde cuenca_donde_ms donde_ms_importan ms_importan_los importan_los_100 los_100_q 100_q_la q_la_seguridad
2019-08-22 13:55:48,amigos recuerden que en días de lluvia 🌧 los caudales de los ríos incrementan por lo que les recomendamos no acercarse a las orillas. laprevenciónestrabajodetodos,friends remember that in rainy days the flow rates of the rivers increase so we recommend you not to approach the banks of work prevention of all,neutral,0.0,Cuenca Ecuador,amigos_recuerden recuerden_que que_en en_das das_de de_lluvia lluvia_los los_caudales caudales_de de_los los_ros ros_incrementan incrementan_por por_lo lo_que que_les les_recomendamos recomendamos_no no_acercarse acercarse_a a_las las_orillas orillas_laprevencinestrabajodetodos,amigos_recuerden_que recuerden_que_en que_en_das en_das_de das_de_lluvia de_lluvia_los lluvia_los_caudales los_caudales_de caudales_de_los de_los_ros los_ros_incrementan ros_incrementan_por incrementan_por_lo por_lo_que lo_que_les que_les_recomendamos les_recomendamos_no recomendamos_no_acercarse no_acercarse_a acercarse_a_las a_las_orillas las_orillas_laprevencinestrabajodetodos
2019-08-22 13:55:06,tome en cuenta las siguientes recomendaciones.,take into account the following recommendations,neutral,0.0,,tome_en en_cuenta cuenta_las las_siguientes siguientes_recomendaciones,tome_en_cuenta en_cuenta_las cuenta_las_siguientes las_siguientes_recomendaciones
2019-08-22 13:42:10,¡buenas noticias 🚧👷🏻‍♀️👷🏻‍♂️ con el mantenimiento de la calle shurpu ayer concluimos los trabajos viales en 20 kilómetros de la parroquia checa. gracias al convenio suscrito por el alcalde gestión y obras. 100sobre100,good news with the maintenance of shurpu street yesterday we concluded the road works in 20 kilometers of the czech parish thanks to the agreement signed by the mayor gestin and works 100sobre100,positivo,0.44999999999999996,Cuenca Ecuador,buenas_noticias noticias_con con_el el_mantenimiento mantenimiento_de de_la la_calle calle_shurpu shurpu_ayer ayer_concluimos concluimos_los los_trabajos trabajos_viales viales_en en_20 20_kilmetros kilmetros_de de_la la_parroquia parroquia_checa checa_gracias gracias_al al_convenio convenio_suscrito suscrito_por por_el el_alcalde alcalde_gestin gestin_y y_obras obras_100sobre100,buenas_noticias_con noticias_con_el con_el_mantenimiento el_mantenimiento_de mantenimiento_de_la de_la_calle la_calle_shurpu calle_shurpu_ayer shurpu_ayer_concluimos ayer_concluimos_los concluimos_los_trabajos los_trabajos_viales trabajos_viales_en viales_en_20 en_20_kilmetros 20_kilmetros_de kilmetros_de_la de_la_parroquia la_parroquia_checa parroquia_checa_gracias checa_gracias_al gracias_al_convenio al_convenio_suscrito convenio_suscrito_por suscrito_por_el por_el_alcalde el_alcalde_gestin alcalde_gestin_y gestin_y_obras y_obras_100sobre100
2019-08-22 13:34:15,sr presidente éste es el pan de cada día en la ciudad de cuenca para el colmo no hay gobernador titular no hay firmas de convenios de seguridad con la ministra no hay nada lo único que hay es bandas delincuenciales.,Mr President this is the daily bread in the city of Cuenca for the last straw There is no incumbent governor There are no signatures of security agreements with the minister There is nothing,neutral,0.0,,sr_presidente presidente_ste ste_es es_el el_pan pan_de de_cada cada_da da_en en_la la_ciudad ciudad_de de_cuenca cuenca_para para_el el_colmo colmo_no no_hay hay_gobernador gobernador_titular titular_no no_hay hay_firmas firmas_de de_convenios convenios_de de_seguridad seguridad_con con_la la_ministra ministra_no no_hay hay_nada nada_lo lo_nico nico_que que_hay hay_es es_bandas bandas_delincuenciales,sr_presidente_ste presidente_ste_es ste_es_el es_el_pan el_pan_de pan_de_cada de_cada_da cada_da_en da_en_la en_la_ciudad la_ciudad_de ciudad_de_cuenca de_cuenca_para cuenca_para_el para_el_colmo el_colmo_no colmo_no_hay no_hay_gobernador hay_gobernador_titular gobernador_titular_no titular_no_hay no_hay_firmas hay_firmas_de firmas_de_convenios de_convenios_de convenios_de_seguridad de_seguridad_con seguridad_con_la con_la_ministra la_ministra_no ministra_no_hay no_hay_nada hay_nada_lo nada_lo_nico lo_nico_que nico_que_hay que_hay_es hay_es_bandas es_bandas_delincuenciales
2019-08-22 13:31:51,no hay sistema en el centro de revisión técnica de mayancela para pagar el 1x1000,there is no system in the technical inspection center of mayancela to pay 1x1000,negativo,-0.05,,no_hay hay_sistema sistema_en en_el el_centro centro_de de_revisin revisin_tcnica tcnica_de de_mayancela mayancela_para para_pagar pagar_el el_1x1000,no_hay_sistema hay_sistema_en sistema_en_el en_el_centro el_centro_de centro_de_revisin de_revisin_tcnica revisin_tcnica_de tcnica_de_mayancela de_mayancela_para mayancela_para_pagar para_pagar_el pagar_el_1x1000
2019-08-22 13:27:02,dgrinforma👇🏻 reporte diario de rayos ultravioleta 🌤 fecha: 22/08/2019 hora: 08h30 cuida tu piel siguiendo estas recomendaciones acorde al índice de radiación uv que presenta este día.👒🌂 trabajamosenprevención,dgrinforma daily report of ultraviolet rays date 22082019 hour 08h30 take care of your skin following these recommendations according to the uv radiation index presented this day we work in prevention,neutral,0.0,Cuenca Ecuador,dgrinforma_reporte reporte_diario diario_de de_rayos rayos_ultravioleta ultravioleta_fecha fecha_22082019 22082019_hora hora_08h30 08h30_cuida cuida_tu tu_piel piel_siguiendo siguiendo_estas estas_recomendaciones recomendaciones_acorde acorde_al al_ndice ndice_de de_radiacin radiacin_uv uv_que que_presenta presenta_este este_da da_trabajamosenprevencin,dgrinforma_reporte_diario reporte_diario_de diario_de_rayos de_rayos_ultravioleta rayos_ultravioleta_fecha ultravioleta_fecha_22082019 fecha_22082019_hora 22082019_hora_08h30 hora_08h30_cuida 08h30_cuida_tu cuida_tu_piel tu_piel_siguiendo piel_siguiendo_estas siguiendo_estas_recomendaciones estas_recomendaciones_acorde recomendaciones_acorde_al acorde_al_ndice al_ndice_de ndice_de_radiacin de_radiacin_uv radiacin_uv_que uv_que_presenta que_presenta_este presenta_este_da este_da_trabajamosenprevencin
